id;transfertid;date;montant;typeoperation;numcompte;conseillerid
1;52992;2022-03-29;94670;orchid bac;98648;81606
2;33924;2022-03-29;64660;deposit;15836;31852
3;93251;2022-03-29;71513;Auto Loan ;67013;81679
4;53206;2022-03-28;77065;Team-orien;69664;40410
5;77866;2022-03-28;97115;New Israel;91928;11474
6;92849;2022-03-28;53683;microchip ;34258;56604
7;94184;2022-03-29;39285;virtual Ge;1632;14827
8;46278;2022-03-28;43411;haptic;37811;87115
9;46757;2022-03-28;794;brand Inte;94410;14436
10;42323;2022-03-28;4136;AGP;56037;59710
